pc_sector,RCH_TRELISKE,RCH_WEST_CORNWALL_HOSPITAL,ST_MICHAELS_HOSPITAL
EX22 6,60.54999924,81.68000031,73.83999634
EX22 7,68.41000366,88.86000061,81.01999664
EX23 0,51.43999863,72.56999969,64.73000336
EX23 8,56.11000061,77.23999786,69.40000153
EX23 9,59.93000031,81.05000305,73.20999908
PL10 1,53.97000122,75.09999847,67.26000214
PL11 2,53.04000092,74.16999817,66.33000183
PL11 3,48.06000137,69.19000244,61.34999847
PL12 4,50.29000092,71.41000366,63.56999969
PL12 5,46,67.12999725,59.29000092
PL12 6,51.11000061,72.23999786,64.38999939
PL13 1,43.70000076,64.81999969,56.97999954
PL13 2,30.62999916,61.61000061,53.77000046
PL14 3,42.04000092,63.16999817,55.33000183
PL14 4,35.36000061,58.93999863,51.09999847
PL14 5,42.43000031,63.54999924,55.70999908
PL14 6,36.77999878,57.90999985,50.06000137
PL14 9,38.47000122,59.59999847,51.75
PL15 7,42.24000168,63.36000061,55.52000046
PL15 8,47.75,68.87000275,61.02999878
PL15 9,50.38999939,71.51000214,63.66999817
PL17 7,45.77999878,66.91000366,59.06999969
PL17 8,51.66999817,72.80000305,64.95999908
PL18 9,50.90000153,72.02999878,64.19000244
PL22 0,27.48999977,53.63999939,45.79999924
PL23 1,25.37000084,55.16999817,47.31999969
PL24 2,21.55999947,46.84999847,39.00999832
PL25 3,19.42000008,44.70999908,36.86999893
PL25 4,17.46999931,42.75999832,34.91999817
PL25 5,17.38999939,41.63000107,33.79000092
PL25 9,16.56999969,41.86000061,34.02000046
PL26 6,16.68000031,41.97000122,34.13000107
PL26 7,16,39.04000092,31.20000076
PL26 8,23.45000076,44.58000183,36.74000168
PL27 6,30.04000092,51.15999985,43.31999969
PL27 7,23.63999939,44.77000046,36.93000031
PL28 8,28.04999924,49.18000031,41.33000183
PL29 3,34.22999954,55.36000061,47.52000046
PL30 3,30.78000069,51.90000153,44.06000137
PL30 4,31.48999977,52.61999893,44.77999878
PL30 5,23.44000053,44.56999969,36.72000122
PL31 1,27.20000076,48.31999969,40.47999954
PL31 2,27.34000015,48.47000122,40.63000107
PL32 9,41.22000122,62.34999847,54.50999832
PL33 9,36.50999832,57.63000107,49.79000092
PL34 0,39.61000061,60.72999954,52.88999939
PL35 0,43.99000168,65.12000275,57.27999878
TR1 1,4.170000076,29.46999931,21.62000084
TR1 2,2.210000038,27.5,19.65999985
TR1 3,1.309999943,26.61000061,18.77000046
TR1 9,3,28.2,20.2
TR10 8,10.5,27.44000053,19.60000038
TR10 9,10.81000042,22.30999947,14.93999958
TR11 2,12.60000038,29.53000069,21.69000053
TR11 3,13.72000027,30.65999985,22.81999969
TR11 4,13.06999969,30.01000023,22.17000008
TR11 5,14.02000046,24.12999916,19.69000053
TR12 6,23.78000069,23.34000015,18.89999962
TR12 7,25.73999977,21.89999962,17.45999908
TR13 0,17.78000069,15.78999996,10.85999966
TR13 8,18.01000023,14.98999977,10.53999996
TR13 9,22.40999985,10.59000015,10.97000027
TR14 0,14.60000038,13.72000027,5.880000114
TR14 4,11.71000004,16.93000031,9.090000153
TR14 7,12.13000011,15.05000019,7.210000038
TR14 8,11.39999962,16.62000084,8.770000458
TR14 9,15.14999962,15.93999958,8.920000076
TR15 1,7.659999847,19.77000046,11.93000031
TR15 2,8.5,19.84000015,12
TR15 3,10.10000038,17.28000069,9.43999958
TR16 4,10.35999966,20.54999924,12.71000004
TR16 5,6.769999981,20.38999939,12.55000019
TR16 6,10.53999996,21.70000076,12.32999992
TR17 0,22.5,5.96999979,5.309999943
TR18 2,24.72999954,0.5,7.539999962
TR18 3,24.59000015,1.24000001,7.400000095
TR18 4,26.39999962,0.699999988,9.210000038
TR18 5,27.76000023,2.849999905,10.56999969
TR19 6,30.82999992,5.920000076,13.63000011
TR19 7,32.77999878,7.869999886,15.57999992
TR2 4,9.859999657,35.15999985,27.31999969
TR2 5,10.85000038,36.15000153,28.29999924
TR20 8,27.09000015,2.180000067,9.899999619
TR20 9,26.29000092,7.159999847,5.210000038
TR21 0,26.57999992,2.599999905,9.390000343
TR22 0,27.65999985,3.670000076,10.46000004
TR23 0,28.13999939,4.159999847,10.94999981
TR24 0,29.12999916,5.139999866,11.93999958
TR25 0,30.04000092,6.050000191,12.84000015
TR26 1,23,9.210000038,5.809999943
TR26 2,21.70000076,10,4.510000229
TR26 3,23.5,7.260000229,6.309999943
TR27 4,16.98999977,8.640000343,0.720000029
TR27 5,16.94000053,10.86999989,3.029999971
TR27 6,19.52000046,10.28999996,1.960000038
TR3 6,4,29.29000092,21.45000076
TR3 7,10.18999958,24.51000023,16.67000008
TR4 8,5.25,22.17000008,14.32999992
TR4 9,4.389999866,27.04999924,19.20999908
TR5 0,6.570000172,25.29000092,17.45000076
TR6 0,8.319999695,27.04000092,19.19000053
TR7 1,15.11999989,33.84000015,26
TR7 2,14.17000008,32.88999939,25.04999924
TR7 3,16.90999985,35.63000107,27.79000092
TR8 4,18.70000076,37.40999985,29.56999969
TR8 5,13.32999992,32.04999924,24.20999908
TR9 6,18.81999969,39.93999863,32.09999847
