pc_sector,treatment_function,total_new_adms,total_followup_adms
PL13 2,000_dummy_treatment_function,24,14
PL25 5,000_dummy_treatment_function,6,12
EX23 8,000_dummy_treatment_function,29,23
PL14 3,000_dummy_treatment_function,25,18
PL26 7,000_dummy_treatment_function,12,20
TR11 5,000_dummy_treatment_function,11,5
PL11 2,000_dummy_treatment_function,15,20
PL14 5,000_dummy_treatment_function,0,21
PL22 0,000_dummy_treatment_function,27,23
PL26 6,000_dummy_treatment_function,23,6
PL14 4,000_dummy_treatment_function,23,16
PL14 6,000_dummy_treatment_function,16,14
TR15 3,000_dummy_treatment_function,1,0
TR16 6,000_dummy_treatment_function,16,14
PL30 3,000_dummy_treatment_function,23,13
PL31 2,000_dummy_treatment_function,19,25
PL24 2,000_dummy_treatment_function,10,0
PL30 5,000_dummy_treatment_function,3,21
PL23 1,000_dummy_treatment_function,18,21
PL30 4,000_dummy_treatment_function,10,15
PL28 8,000_dummy_treatment_function,7,22
TR1 1,000_dummy_treatment_function,5,30
PL26 8,000_dummy_treatment_function,5,22
PL27 7,000_dummy_treatment_function,23,5
TR21 0,000_dummy_treatment_function,18,30
TR4 9,000_dummy_treatment_function,12,3
PL35 0,000_dummy_treatment_function,18,8
TR1 3,000_dummy_treatment_function,5,19
TR12 7,000_dummy_treatment_function,30,10
TR13 9,000_dummy_treatment_function,3,7
PL31 1,000_dummy_treatment_function,27,0
TR17 0,000_dummy_treatment_function,18,8
TR10 8,000_dummy_treatment_function,15,30
TR10 9,000_dummy_treatment_function,4,26
PL29 3,000_dummy_treatment_function,7,2
PL32 9,000_dummy_treatment_function,1,30
TR18 3,000_dummy_treatment_function,7,16
TR2 4,000_dummy_treatment_function,18,14
TR13 8,000_dummy_treatment_function,29,14
TR14 8,000_dummy_treatment_function,14,14
TR1 2,000_dummy_treatment_function,25,20
TR15 1,000_dummy_treatment_function,15,0
TR14 0,000_dummy_treatment_function,2,11
TR14 7,000_dummy_treatment_function,16,21
TR14 9,000_dummy_treatment_function,24,28
TR15 2,000_dummy_treatment_function,15,6
TR16 5,000_dummy_treatment_function,30,12
TR18 2,000_dummy_treatment_function,14,14
TR26 1,000_dummy_treatment_function,8,4
TR3 6,000_dummy_treatment_function,2,15
TR2 5,000_dummy_treatment_function,5,18
TR27 6,000_dummy_treatment_function,30,11
TR16 4,000_dummy_treatment_function,28,8
TR18 5,000_dummy_treatment_function,10,16
TR7 2,000_dummy_treatment_function,14,8
EX23 8,007_non_consultant,3,0
TR7 3,000_dummy_treatment_function,1,20
TR9 6,000_dummy_treatment_function,19,21
TR20 8,000_dummy_treatment_function,27,27
TR20 9,000_dummy_treatment_function,0,19
TR5 0,000_dummy_treatment_function,27,13
PL13 1,007_non_consultant,29,6
TR6 0,000_dummy_treatment_function,18,7
EX22 6,007_non_consultant,7,27
TR26 3,000_dummy_treatment_function,10,4
TR27 5,000_dummy_treatment_function,25,18
PL13 2,007_non_consultant,0,30
PL27 6,007_non_consultant,0,7
PL15 7,007_non_consultant,27,6
PL15 8,007_non_consultant,23,18
TR7 1,000_dummy_treatment_function,17,29
TR8 5,000_dummy_treatment_function,1,9
PL31 2,007_non_consultant,26,24
PL34 0,007_non_consultant,1,25
PL25 9,007_non_consultant,17,24
PL27 7,007_non_consultant,2,2
PL12 4,007_non_consultant,18,8
PL18 9,007_non_consultant,7,3
PL12 6,007_non_consultant,6,17
PL30 3,007_non_consultant,0,23
TR18 4,000_dummy_treatment_function,1,24
TR27 4,000_dummy_treatment_function,1,4
EX23 0,007_non_consultant,28,30
PL14 3,007_non_consultant,7,27
TR1 2,007_non_consultant,28,4
TR11 5,007_non_consultant,1,7
TR1 9,007_non_consultant,23,15
TR14 9,007_non_consultant,10,9
PL25 5,007_non_consultant,14,17
PL30 4,007_non_consultant,28,13
PL31 1,007_non_consultant,12,22
TR11 2,007_non_consultant,30,27
EX22 7,007_non_consultant,27,22
EX23 9,007_non_consultant,10,11
PL33 9,007_non_consultant,9,6
TR11 3,007_non_consultant,18,4
TR14 7,007_non_consultant,9,19
TR19 6,007_non_consultant,29,8
PL11 3,007_non_consultant,9,22
PL23 1,007_non_consultant,13,9
TR12 6,007_non_consultant,20,3
TR13 9,007_non_consultant,30,3
TR24 0,007_non_consultant,24,11
TR27 9,007_non_consultant,17,14
EX23 9,100_general_surgery,13,27
PL14 3,100_general_surgery,26,15
PL25 3,007_non_consultant,20,0
PL26 7,007_non_consultant,29,22
TR16 6,007_non_consultant,30,2
TR17 0,007_non_consultant,0,23
PL14 6,007_non_consultant,29,2
PL15 9,007_non_consultant,7,10
TR14 0,007_non_consultant,14,4
TR16 4,007_non_consultant,18,17
PL15 9,100_general_surgery,0,18
PL17 7,100_general_surgery,0,2
TR18 5,007_non_consultant,20,18
TR4 8,007_non_consultant,13,14
TR18 2,007_non_consultant,20,21
TR18 3,007_non_consultant,19,15
PL23 1,100_general_surgery,13,13
PL25 3,100_general_surgery,29,21
TR3 6,007_non_consultant,29,28
PL12 4,100_general_surgery,2,28
TR1 2,100_general_surgery,30,7
TR11 4,100_general_surgery,28,29
PL12 5,100_general_surgery,2,10
PL18 9,100_general_surgery,1,17
TR18 4,007_non_consultant,14,23
TR22 0,007_non_consultant,14,12
PL25 4,007_non_consultant,1,3
PL26 8,007_non_consultant,16,6
TR17 0,100_general_surgery,4,18
TR18 3,100_general_surgery,15,4
TR13 8,007_non_consultant,0,8
TR14 8,007_non_consultant,28,11
TR18 4,100_general_surgery,18,11
TR2 4,100_general_surgery,12,30
TR26 2,007_non_consultant,1,22
TR27 5,007_non_consultant,25,27
PL29 3,007_non_consultant,22,27
TR1 1,007_non_consultant,12,20
TR7 1,007_non_consultant,0,1
PL11 2,100_general_surgery,9,11
PL24 2,100_general_surgery,23,9
PL28 8,100_general_surgery,19,18
TR21 0,100_general_surgery,17,0
EX22 6,101_urology,9,17
TR15 2,007_non_consultant,12,10
TR23 0,007_non_consultant,24,8
TR12 7,007_non_consultant,25,9
TR16 5,007_non_consultant,9,7
PL12 6,100_general_surgery,6,14
PL14 5,100_general_surgery,6,21
TR25 0,007_non_consultant,21,7
PL13 1,100_general_surgery,2,17
TR19 7,007_non_consultant,7,15
TR21 0,007_non_consultant,2,11
PL13 2,100_general_surgery,0,10
PL27 7,100_general_surgery,15,10
TR3 7,007_non_consultant,22,8
TR8 4,007_non_consultant,19,8
PL29 3,100_general_surgery,12,12
PL30 3,100_general_surgery,21,20
PL26 7,100_general_surgery,21,5
PL31 1,100_general_surgery,10,7
TR4 9,007_non_consultant,21,22
TR7 2,007_non_consultant,7,19
PL31 2,100_general_surgery,10,27
PL34 0,100_general_surgery,1,4
EX22 6,100_general_surgery,18,17
EX23 0,100_general_surgery,12,29
PL13 2,101_urology,15,15
PL24 2,101_urology,22,16
PL28 8,101_urology,9,15
PL15 7,100_general_surgery,11,11
PL15 8,100_general_surgery,15,21
PL30 5,101_urology,8,15
PL32 9,101_urology,24,24
PL34 0,101_urology,10,27
PL30 4,100_general_surgery,8,26
PL33 9,100_general_surgery,25,30
TR11 5,100_general_surgery,9,20
TR13 0,100_general_surgery,10,30
TR1 1,100_general_surgery,15,15
TR12 7,100_general_surgery,28,28
PL22 0,100_general_surgery,30,10
PL26 6,100_general_surgery,4,30
PL10 1,100_general_surgery,6,8
PL11 3,100_general_surgery,7,21
TR16 6,100_general_surgery,5,14
EX23 0,101_urology,1,26
TR1 3,100_general_surgery,12,11
TR13 8,100_general_surgery,21,26
TR1 3,101_urology,8,20
TR11 4,101_urology,23,19
TR18 2,101_urology,23,3
PL25 4,100_general_surgery,28,17
TR11 3,100_general_surgery,20,15
PL14 3,101_urology,21,6
PL14 4,101_urology,16,26
PL14 6,101_urology,1,17
TR16 5,100_general_surgery,19,14
TR19 7,100_general_surgery,20,13
TR14 8,100_general_surgery,15,15
TR15 2,100_general_surgery,10,2
PL27 6,100_general_surgery,8,18
TR11 2,100_general_surgery,0,10
TR7 2,100_general_surgery,16,0
TR8 4,100_general_surgery,13,14
TR18 3,101_urology,26,23
TR18 4,101_urology,29,24
TR2 4,101_urology,27,17
PL17 8,101_urology,23,10
PL23 1,101_urology,17,13
PL25 3,101_urology,15,3
TR18 2,100_general_surgery,20,26
TR19 6,100_general_surgery,14,30
TR20 9,101_urology,15,3
TR23 0,101_urology,29,28
TR27 5,101_urology,27,2
TR22 0,100_general_surgery,19,25
TR26 2,100_general_surgery,23,25
PL22 0,101_urology,1,6
PL25 4,101_urology,19,3
PL26 6,101_urology,23,23
PL31 2,101_urology,24,27
PL35 0,101_urology,18,15
TR1 2,101_urology,9,3
PL27 6,101_urology,7,21
TR15 1,101_urology,17,24
TR15 3,101_urology,19,8
TR27 4,100_general_surgery,27,1
TR3 6,100_general_surgery,12,28
TR6 0,101_urology,4,2
EX23 8,103_breast_surgery,15,10
EX23 9,103_breast_surgery,0,19
TR12 6,100_general_surgery,30,15
TR14 9,100_general_surgery,5,19
TR11 5,101_urology,1,27
TR13 0,101_urology,17,12
TR16 5,101_urology,29,25
TR4 9,100_general_surgery,23,7
TR7 3,100_general_surgery,24,0
PL10 1,103_breast_surgery,21,1
PL11 3,103_breast_surgery,5,10
TR16 4,100_general_surgery,26,10
TR23 0,100_general_surgery,13,19
TR16 6,101_urology,30,8
TR27 4,101_urology,2,30
TR4 9,101_urology,13,24
TR9 6,100_general_surgery,10,29
PL13 1,101_urology,11,10
TR25 0,100_general_surgery,24,13
TR3 7,100_general_surgery,9,17
PL18 9,101_urology,2,3
PL27 7,101_urology,28,4
PL33 9,101_urology,11,3
TR27 5,100_general_surgery,8,28
TR6 0,100_general_surgery,26,6
TR7 1,100_general_surgery,28,6
PL14 5,101_urology,3,21
TR5 0,101_urology,10,20
TR8 5,101_urology,3,16
PL26 7,103_breast_surgery,17,14
TR26 2,101_urology,30,27
TR27 6,101_urology,26,11
TR7 3,101_urology,22,9
PL12 4,103_breast_surgery,30,9
PL18 9,103_breast_surgery,10,5
PL29 3,101_urology,4,12
TR12 7,101_urology,9,19
TR14 7,101_urology,12,20
TR1 1,101_urology,23,7
TR1 9,101_urology,0,13
TR13 9,101_urology,21,23
TR1 1,103_breast_surgery,13,24
TR11 3,103_breast_surgery,22,19
PL33 9,103_breast_surgery,29,16
TR10 9,103_breast_surgery,8,15
TR9 6,101_urology,16,19
PL27 7,103_breast_surgery,11,24
PL30 4,103_breast_surgery,0,12
PL26 7,101_urology,25,26
TR10 8,101_urology,5,29
TR10 9,101_urology,27,14
TR17 0,103_breast_surgery,13,25
TR25 0,103_breast_surgery,20,5
TR17 0,101_urology,27,22
TR25 0,101_urology,26,23
TR26 1,101_urology,16,1
TR14 0,101_urology,30,20
TR18 5,101_urology,15,10
TR2 5,101_urology,5,22
TR19 6,101_urology,24,26
TR20 8,101_urology,12,5
TR21 0,101_urology,11,24
TR7 2,101_urology,26,3
PL17 8,103_breast_surgery,10,13
PL23 1,103_breast_surgery,15,22
TR12 6,103_breast_surgery,27,12
TR13 9,103_breast_surgery,17,20
TR10 8,103_breast_surgery,29,1
TR13 8,103_breast_surgery,26,16
PL25 3,103_breast_surgery,25,28
PL27 6,103_breast_surgery,25,28
TR15 3,103_breast_surgery,25,30
TR16 6,103_breast_surgery,9,28
TR26 1,103_breast_surgery,12,19
TR7 2,103_breast_surgery,26,30
TR7 1,101_urology,1,1
EX22 6,103_breast_surgery,11,24
EX23 0,103_breast_surgery,4,23
TR27 4,103_breast_surgery,28,30
TR4 9,103_breast_surgery,15,30
PL27 7,104_colorectal_surgery,22,5
TR15 1,104_colorectal_surgery,14,21
TR15 1,103_breast_surgery,14,30
TR16 4,103_breast_surgery,20,12
TR14 8,103_breast_surgery,8,6
TR14 9,103_breast_surgery,12,1
TR15 3,104_colorectal_surgery,26,23
TR16 6,104_colorectal_surgery,28,15
TR5 0,103_breast_surgery,21,18
TR8 5,103_breast_surgery,8,25
PL14 3,103_breast_surgery,2,6
PL14 4,103_breast_surgery,7,3
TR26 3,101_urology,20,19
TR3 6,101_urology,12,22
PL15 7,103_breast_surgery,5,13
TR18 5,103_breast_surgery,2,2
TR21 0,103_breast_surgery,26,12
TR20 9,104_colorectal_surgery,8,1
TR27 5,104_colorectal_surgery,9,6
PL25 5,104_colorectal_surgery,25,12
TR10 8,104_colorectal_surgery,12,26
PL15 8,103_breast_surgery,2,24
PL15 9,103_breast_surgery,3,24
TR15 2,103_breast_surgery,12,11
TR2 5,103_breast_surgery,18,21
PL14 6,103_breast_surgery,13,5
PL25 4,103_breast_surgery,5,1
TR4 9,104_colorectal_surgery,10,14
TR5 0,104_colorectal_surgery,28,12
TR24 0,103_breast_surgery,9,7
TR4 8,103_breast_surgery,30,2
PL31 2,103_breast_surgery,10,23
PL34 0,103_breast_surgery,29,5
TR8 5,104_colorectal_surgery,30,26
PL30 3,106_upper_gastrointestinal_surgery,4,4
TR7 1,103_breast_surgery,10,0
PL30 4,104_colorectal_surgery,5,12
TR10 9,104_colorectal_surgery,20,29
TR17 0,104_colorectal_surgery,25,30
PL12 4,104_colorectal_surgery,20,8
PL26 8,104_colorectal_surgery,20,14
TR1 2,103_breast_surgery,28,9
TR11 5,103_breast_surgery,2,23
PL31 1,106_upper_gastrointestinal_surgery,20,21
TR11 2,106_upper_gastrointestinal_surgery,8,13
PL29 3,103_breast_surgery,0,9
PL30 3,103_breast_surgery,2,30
TR16 5,103_breast_surgery,22,8
TR18 2,103_breast_surgery,21,13
TR14 7,106_upper_gastrointestinal_surgery,29,16
TR19 6,106_upper_gastrointestinal_surgery,12,9
PL33 9,104_colorectal_surgery,13,7
TR13 8,104_colorectal_surgery,16,8
TR18 3,103_breast_surgery,18,18
TR18 4,103_breast_surgery,2,0
TR1 1,104_colorectal_surgery,11,16
TR11 3,104_colorectal_surgery,17,18
TR14 8,104_colorectal_surgery,27,20
TR14 9,104_colorectal_surgery,27,3
TR3 6,106_upper_gastrointestinal_surgery,20,13
PL14 3,107_vascular_surgery,0,22
PL31 1,103_breast_surgery,2,3
TR12 7,103_breast_surgery,22,4
TR15 2,104_colorectal_surgery,27,16
TR2 5,104_colorectal_surgery,20,26
PL14 4,107_vascular_surgery,26,17
PL14 6,107_vascular_surgery,11,1
TR14 0,103_breast_surgery,9,17
TR14 7,103_breast_surgery,14,5
TR27 4,104_colorectal_surgery,0,29
EX23 0,106_upper_gastrointestinal_surgery,14,18
PL26 8,107_vascular_surgery,14,15
PL29 3,107_vascular_surgery,0,14
TR7 2,104_colorectal_surgery,11,13
PL14 3,106_upper_gastrointestinal_surgery,15,28
TR23 0,103_breast_surgery,16,21
TR26 2,103_breast_surgery,29,15
TR12 6,104_colorectal_surgery,23,13
TR13 9,104_colorectal_surgery,11,9
TR19 6,103_breast_surgery,27,30
TR22 0,103_breast_surgery,6,2
PL22 0,106_upper_gastrointestinal_surgery,9,5
PL25 4,106_upper_gastrointestinal_surgery,20,29
TR12 7,107_vascular_surgery,7,15
TR16 5,107_vascular_surgery,1,0
TR27 5,103_breast_surgery,28,13
TR3 6,103_breast_surgery,28,23
PL23 1,104_colorectal_surgery,28,12
PL25 3,104_colorectal_surgery,16,20
TR16 4,104_colorectal_surgery,9,3
TR18 5,104_colorectal_surgery,29,24
PL26 8,106_upper_gastrointestinal_surgery,14,22
TR12 7,106_upper_gastrointestinal_surgery,22,26
PL26 7,104_colorectal_surgery,22,7
PL27 6,104_colorectal_surgery,19,24
TR4 8,104_colorectal_surgery,13,16
TR7 1,104_colorectal_surgery,23,13
TR16 5,106_upper_gastrointestinal_surgery,16,7
TR19 7,106_upper_gastrointestinal_surgery,9,18
PL32 9,104_colorectal_surgery,24,0
TR1 3,104_colorectal_surgery,28,12
PL24 2,106_upper_gastrointestinal_surgery,8,23
PL28 8,106_upper_gastrointestinal_surgery,21,3
PL26 6,106_upper_gastrointestinal_surgery,11,6
PL30 5,106_upper_gastrointestinal_surgery,1,2
TR11 4,104_colorectal_surgery,6,5
TR13 0,104_colorectal_surgery,0,23
PL31 2,106_upper_gastrointestinal_surgery,23,19
PL35 0,106_upper_gastrointestinal_surgery,20,13
PL32 9,106_upper_gastrointestinal_surgery,8,17
TR1 3,106_upper_gastrointestinal_surgery,3,23
PL25 4,104_colorectal_surgery,24,8
TR11 2,104_colorectal_surgery,23,11
TR20 8,106_upper_gastrointestinal_surgery,17,21
TR21 0,106_upper_gastrointestinal_surgery,0,16
TR2 4,104_colorectal_surgery,21,25
TR6 0,104_colorectal_surgery,24,26
TR1 2,106_upper_gastrointestinal_surgery,25,30
TR11 4,106_upper_gastrointestinal_surgery,14,11
TR19 7,104_colorectal_surgery,30,23
TR3 7,104_colorectal_surgery,17,24
TR8 4,104_colorectal_surgery,2,16
TR10 8,106_upper_gastrointestinal_surgery,28,30
TR19 7,107_vascular_surgery,19,9
TR20 8,107_vascular_surgery,17,15
TR18 2,106_upper_gastrointestinal_surgery,13,8
TR18 3,106_upper_gastrointestinal_surgery,22,22
TR3 7,106_upper_gastrointestinal_surgery,23,19
TR8 4,106_upper_gastrointestinal_surgery,28,29
TR21 0,107_vascular_surgery,30,6
TR3 7,107_vascular_surgery,9,22
TR18 4,106_upper_gastrointestinal_surgery,27,9
TR2 4,106_upper_gastrointestinal_surgery,21,15
