treatment_function,RCH_TRELISKE,RCH_WEST_CORNWALL_HOSPITAL,ST_MICHAELS_HOSPITAL
000_dummy_treatment_function,1,1,1
007_non_consultant,1,0,1
100_general_surgery,0,1,0
101_urology,1,0,0
103_breast_surgery,0,1,0
104_colorectal_surgery,1,0,1
106_upper_gastrointestinal_surgery,1,0,0
107_vascular_surgery,1,0,1
109_bariatric_surgery_service,0,1,0
110_trauma_and_orthopaedic_service,0,0,1
110_trauma_and_orthopaedics,0,1,0
120_ent,1,0,0
130_ophthalmology,1,1,1
140_oral_surgery,0,0,1
143_orthodontics,1,0,1
145_oral_and_maxillofacial_surgery_service,0,0,1
170_cardiothoracic_surgery,1,0,1
171_paediatric_surgery,0,1,0
180_accident_and_emergency,1,1,1
190_anaesthetics,1,1,1
191_pain_management,1,1,0
192_critical_care_medicine,1,1,1
211_paediatric_urology,0,0,1
251_paediatric_gastroenterology,1,1,0
252_paediatric_endocrinology,0,0,1
253_paediatric_clinical_haematology,0,1,1
254_paediatric_audiological_medicine,0,1,1
255_paediatric_clinical_immunology_and_allergy,1,0,1
258_paediatric_respiratory_medicine,0,1,0
259_paediatric_nephrology,0,0,1
260_paediatric_medical_oncology,1,0,0
261_paediatric_metabolic_disease,0,1,1
262_paediatric_rheumatology,1,1,1
263_paediatric_diabetic_medicine,0,0,1
290_community_paediatrics,1,0,0
291_paediatrics_neurodisability,1,1,1
300_general_medicine,0,1,1
301_gastroenterology,1,0,0
302_endocrinology,0,0,1
303_haematology_clinical,1,1,1
306_hepatology,1,1,1
307_diabetic_medicine,0,0,1
311_clinical_genetics,1,1,1
314_rehabilitation,1,0,0
316_clinical_immunology,0,0,1
320_cardiology,1,1,0
321_paediatric_cardiology,0,0,1
324_anticoagulant_service,0,1,0
330_dermatology,0,0,1
340_respiratory_medicine,0,1,0
341_respiratory_physiology,1,1,0
347_sleep_medicine_service,1,0,1
348_post-covid-19_syndrome_service,0,1,0
361_nephrology,1,0,0
370_medical_oncology,0,0,1
400_neurology,1,1,1
401_clinical_neurophysiology,1,1,0
410_rheumatology,1,1,1
420_paediatrics,0,1,1
421_paediatric_neurology,0,1,1
422_neonatology,0,1,1
430_geriatric_medicine,1,0,1
461_ophthalmic_and_vision_science_service,1,1,0
501_obst_pats_in_hosp_bed/deliv_fa,1,0,0
502_gynaecology,1,0,1
503_gynaecology_oncology,0,0,1
505_fetal_medicine_service_,0,1,1
560_midwife_episode,1,0,0
650_physiotherapy,0,0,1
651_occupational_therapy,0,1,0
652_speech_and_language_therapy,1,0,1
654_dietetics,1,1,0
655_orthoptics,1,0,0
656_clinical_psychology,1,0,0
670_urological_physiology_service,1,0,0
675_cardiac_physiology_service,1,1,1
677_gastrointestinal_physiology_service,1,0,0
800_clinical_oncology,0,0,1
812_diagnostic_imaging,0,0,1
822_chemical_pathology,0,1,0
840_audiology,0,1,0
950_nursing_episode,0,1,0
