treatment_function,scenario_title,pc_followup_adms_virtual,pc_new_adms_virtual
100_general_surgery,Baseline,0.65628931100227,0.647782447628375
101_urology,Baseline,0.963983864377019,0.93128583131536
103_breast_surgery,Baseline,0.549526470033806,0.149194884971892
104_colorectal_surgery,Baseline,0.287654507172239,0.291567453426892
106_upper_gastrointestinal_surgery,Baseline,0.711426057078198,0.391202741393809
107_vascular_surgery,Baseline,0.253170440061669,0.062315951365937
110_trauma_and_orthopaedics,Baseline,0.467208134640317,0.491889277437076
120_ent,Baseline,0.174880889001527,0.171903885644871
130_ophthalmology,Baseline,0.454577475732884,0.620765246399939
140_oral_surgery,Baseline,0.670073397294637,0.402095553775914
143_orthodontics,Baseline,0.676168067439716,0.864848950212448
171_paediatric_surgery,Baseline,0.412727013137827,0.874727786040313
180_accident_and_emergency,Baseline,0.947228591010755,0.754077368636592
190_anaesthetics,Baseline,0.574364670079743,0.546912514413653
191_pain_management,Baseline,0.547771573178872,0.74012600850253
192_critical_care_medicine,Baseline,0.597915548807446,0.860137514316522
211_paediatric_urology,Baseline,0.441163865729099,0.615507304332047
251_paediatric_gastroenterology,Baseline,0.652860755555376,0.12114266681781
252_paediatric_endocrinology,Baseline,0.898791949391016,0.79082406487505
253_paediatric_clinical_haematology,Baseline,0.978348304913002,0.275805201570666
254_paediatric_audiological_medicine,Baseline,0.085656970404337,0.003583751363647
255_paediatric_clinical_immunology_and_allergy,Baseline,0.190614651395966,0.491234142884995
258_paediatric_respiratory_medicine,Baseline,0.104412110482049,0.857351638700797
259_paediatric_nephrology,Baseline,0.132174479878688,0.881224003613998
260_paediatric_medical_oncology,Baseline,0.642699963464762,0.097617191749486
261_paediatric_metabolic_disease,Baseline,0.603271705217575,0.009110724017138
262_paediatric_rheumatology,Baseline,0.370073594628645,0.122188532842194
263_paediatric_diabetic_medicine,Baseline,0.106140831580151,0.741733443509172
290_community_paediatrics,Baseline,0.362128522609153,0.345847499473318
291_paediatrics_neurodisability,Baseline,0.404636920527405,0.993262215107598
300_general_medicine,Baseline,0.751571141212442,0.055628255317817
301_gastroenterology,Baseline,0.582056949337624,0.31611230259138
302_endocrinology,Baseline,0.17436278150276,0.032827643093793
303_haematology_clinical,Baseline,0.854638402875264,0.315087661858284
306_hepatology,Baseline,0.513334820443669,0.37974773332719
307_diabetic_medicine,Baseline,0.194514780884785,0.183310094306177
314_rehabilitation,Baseline,0.403423365220743,0.139598010528275
316_clinical_immunology,Baseline,0.601534171125482,0.775232744284806
320_cardiology,Baseline,0.554861759136617,0.713718227554386
321_paediatric_cardiology,Baseline,0.631686682189754,0.675263866225628
324_anticoagulant_service,Baseline,0.542496838462971,0.873071525828065
330_dermatology,Baseline,0.498643582139768,0.811032774929031
340_respiratory_medicine,Baseline,0.492726369186219,0.313614859223032
341_respiratory_physiology,Baseline,0.089794962754027,0.912251040327501
361_nephrology,Baseline,0.9147171201423,0.818501408710738
400_neurology,Baseline,0.408841728395112,0.03058747801958
401_clinical_neurophysiology,Baseline,0.677794812923052,0.926121554585299
410_rheumatology,Baseline,0.384501525097663,0.151997116234309
420_paediatrics,Baseline,0.917898819348864,0.012462487767074
421_paediatric_neurology,Baseline,0.422638926555089,0.757427041808961
422_neonatology,Baseline,0.606221661760639,0.248569598762434
430_geriatric_medicine,Baseline,0.26459793538773,0.923530747367207
501_obst_pats_in_hosp_bed/deliv_fa,Baseline,0.282755752102766,0.10400670512112
502_gynaecology,Baseline,0.542613223268544,0.470924437059897
503_gynaecology_oncology,Baseline,0.13303409722433,0.321220750997719
560_midwife_episode,Baseline,0.427983591778903,0.784778369049495
650_physiotherapy,Baseline,0.231873109233099,0.760697313867871
651_occupational_therapy,Baseline,0.612536109733638,0.192471940872222
652_speech_and_language_therapy,Baseline,0.633033834617615,0.53167513239689
654_dietetics,Baseline,0.12797042872197,0.41052904313952
655_orthoptics,Baseline,0.822127056214008,0.032730117380867
656_clinical_psychology,Baseline,0.691511009549322,0.687975431747786
800_clinical_oncology,Baseline,0.534656928574524,0.742377794119066
812_diagnostic_imaging,Baseline,0.421909828425175,0.274036696796822
822_chemical_pathology,Baseline,0.904016485116328,0.722835254043986
840_audiology,Baseline,0.033540024865706,0.270728563220728
348_post-covid-19_syndrome_service,Baseline,0.372903668968836,0.046850838113269
